District,Name,Server,Comments,,,,,,
SCD,SCDLAPCCPLT06-Orleans,\\SCDLAPC1FSV01,HP T1200 Plotter ,,,,,,
SCD,SCDLAPCCPMFP01-WhiteHouse,\\SCDLAPC1FSV01,WhiteHouse ,,,,,,
SCD,SCDLAPCCPMFP02-DocumentControl,\\SCDLAPC1FSV01,DocumentControl ,,,,,,
SCD,SCDLAPCCPMFP03-Design,\\SCDLAPC1FSV01,Design ,,,,,,
SCD,SCDLAPCCPMFP04-Operations,\\SCDLAPC1FSV01,Operations ,,,,,,
SCD,SCDLAPCCPMFP05-AreaOffice,\\SCDLAPC1FSV01,AreaOffice ,,,,,,
SCD,SCDLAPCCPMFP06-17-3-Construction,\\SCDLAPC1FSV01,Construction ,,,,,,
SCD,SCDLAPCCPMFP07-OrleansConstruction,\\SCDLAPC1FSV01,OrleansConstruction ,,,,,,
SCD,SCDLAPCCPMFP08-London,\\SCDLAPC1FSV01,London ,,,,,,
SCD,SCDLAPCCPMFP09-Survey,\\SCDLAPC1FSV01,Survey ,,,,,,
SCD,SCDLAPCCPMFP10-Maintenance,\\SCDLAPC1FSV01,Maintenance ,,,,,,
SCD,SCDLAPCCPMFP11-Safety,\\SCDLAPC1FSV01,Safety ,,,,,,
SCD,SCDLAPCCPPLT02-17-3Construction,\\SCDLAPC1FSV01,Construction ,,,,,,
SCD,SCDLAPCCPPLT04-London,\\SCDLAPC1FSV01,London,,,,,,
SCD,SCDLAPCCPPLT07-Design,\\SCDLAPC1FSV01,Design ,,,,,,
SCD,SCDLAPCCPPRT02-CheckPrinter,\\SCDLAPC1FSV01,CheckPrinter ,,,,,,
SCD,SCDLAPCCPPRT03-Maintenance,\\SCDLAPC1FSV01,Maintenance ,,,,,,
ECD,224 - DCC     ,\\ECDNLLONFSV01,10.32.161.177,,,,,,
ECD,224 - Electrical 1,\\ECDNLLONFSV01,10.32.161.152,,,,,,
ECD,224 - LOTO,\\ECDNLLONFSV01,Nick Thomas' Trailer,,,,,,
ECD,224 - Management,\\ECDNLLONFSV01,Mike Moriarity's Trailer,,,,,,
ECD,224 - Materials,\\ECDNLLONFSV01,224 - Materials,,,,,,
ECD,224 - Piping 1,\\ECDNLLONFSV01,224 - Piping 1,,,,,,
ECD,224 - Piping 2,\\ECDNLLONFSV01,224 - Piping 2,,,,,,
ECD,224 - Quality 1,\\ECDNLLONFSV01,Brad Fagan's Trailer,,,,,,
ECD,224 - Safety,\\ECDNLLONFSV01,224 - Safety,,,,,,
ECD,224 - Site Services,\\ECDNLLONFSV01,John Picco's Office,,,,,,
ECD,224 - Structural Mechanical,\\ECDNLLONFSV01,Brad Dixon's Trailer,,,,,,
ECD,226 - LR,\\ECDNLLONFSV01,226 - LR,,,,,,
ECD,226 - Main Office,\\ECDNLLONFSV01,226 - Main Office,,,,,,
ECD,226 - Plotter,\\ECDNLLONFSV01,226 - Plotter,,,,,,
ECD,ECDNLLLY-MAINTENANCE-C360-BW,\\ECDNLLONFSV01,ECDNLLLY-MAINTENANCE-C360-BW,,,,,,
ECD,ECDNLLLY-WAREHOUSE-C35,\\ECDNLLONFSV01,Colour,,,,,,
