District,Letter,Path,Comment,,,,
NOC,,\\noccahtwfsv01\nocadmin$\Software,NOCCAHTW  Harry Tracy,,,,
KPD,,\\KPDABENMFSV01\gan.hrsg,,,,,
SOC,,\\SOCCASPWFSV01\AD_Deploy,,,,,
SOC,,\\SOCCASPWFSV01\Archived_Users \,,,,,
SOC,,\\SOCCASPWFSV01\Data,,,,,
SOC,,\\SOCCASPWFSV01\transfers,,,,,
WCD,,\\WCDMBDBJFSV01\Scans,,,,,
WCD,,\\WCDMBDBJFSV01\Share,,,,,
WCD,,\\WCDMBDBJFSV01\TLC,,,,,
KEU,,\\KEUTXCPHFSV01\IM,,,,,
KEU,,\\KEUTXCPHFSV01\Users,,,,,
TUS,,\\TUSGASAVFSV01\Accounting,,,,,
TUS,,\\TUSGASAVFSV01\Common,,,,,
TUS,,\\TUSGASAVFSV01\Data,,,,,
TUS,,\\TUSGASAVFSV01\Gwinnett,,,,,
TUS,,\\TUSGASAVFSV01\Marine,,,,,
TUS,,\\TUSGASAVFSV01\Marine Field,,,,,
TUS,,\\TUSGASAVFSV01\PileBuck,,,,,
TUS,,\\TUSGASAVFSV01\records,,,,,
TUS,,\\TUSGASAVFSV01\Users,,,,,
TUS,,\\TUSGASAVFSV01\XP PCL 5 ,,,,,
SOC,,\\SOCCASFSFSV01\AD_Deploy,,,,,
SOC,,\\SOCCASFSFSV01\Data,,,,,
SOC,,\\SOCCASFSFSV01\IM,,,,,
SOC,,\\SOCCASFSFSV01\Project Archives,,,,,
SOC,,\\SOCCASFSFSV01\Records,,,,,
SOC,,\\SOCCASFSFSV01\sdrive_readonly,,,,,
SOC,,\\SOCCASFSFSV01\Sharepoint,,,,,
SOC,,\\SOCCASFSFSV01\users,,,,,
ECD,,\\ECDONOAKFSV01\Accounting,,,,,
ECD,,\\ECDONOAKFSV01\BusDev,,,,,
ECD,,\\ECDONOAKFSV01\Chktransfers,,,,,
ECD,,\\ECDONOAKFSV01\Projects,,,,,
ECD,,\\ECDONOAKFSV01\Records,,,,,
ECD,,\\ECDONOAKFSV01\Scans,,,,,
ECD,,\\ECDONOAKFSV01\Software,,,,,
ECD,,\\ECDONOAKFSV01\SPBackup,,,,,
ECD,,\\ECDONOAKFSV01\TempEstimating,,,,,
ECD,,\\ECDONOAKFSV01\Transfers,,,,,
ECD,,\\ECDONOAKFSV01\users,,,,,
ECD,,\\ECDONOAKFSV01\Waterloo_LRT,,,,,
SCD,,\\SCDLAPC1FSV01\Share_old,,,,,
SCD,,\\SCDLAPC1FSV01\Users,,,,,
SCD,,\\SCDLAPC1FSV01\Cranes,,,,,
ECD,,\\ECDNLLONFSV01\Project,,,,,
ECD,,\\ECDNLLONFSV01\SafetySAZ,,,,,
ECD,,\\ECDNLLONFSV01\Scans,,,,,
ECD,,\\ECDNLLONFSV01\Software,,,,,
ECD,,\\ECDNLLONFSV01\Transfers,,,,,
AER,,\\AERAZINTFSV01\Billings,,,,,
AER,,\\AERAZINTFSV01\Extra,,,,,
AER,,\\AERAZINTFSV01\ProjectData  ,,,,,
AER,,\\AERAZINTFSV01\Records ,,,,,
AER,,\\AERAZINTFSV01\ScrubShare  ,,,,,
KEU,,\\KEUTXHOUFSV01\Users ,,,,,
KEU,,\\KEUTXHOUFSV01\UsersShareRestore,,,,,
AER,,\\AERAZPHXFSV01\Scripts,,,,,
AER,,\\AERAZPHXFSV01\Share,,,,,
AER,,\\AERAZPHXFSV01\Share2,,,,,
AER,,\\AERAZPHXFSV01\Users,,,,,
AER,,\\AERAZPHXFSV01\Users2,,,,,
GAN,,\\GANQCTROFSV01\Apps,,,,,
GAN,,\\GANQCTROFSV01\Data,,,,,
GAN,,\\GANQCTROFSV01\Imaging,,,,,
GAN,,\\GANQCTROFSV01\Transfer,,,,,
GAN,,\\GANQCTROFSV01\Usagers,,,,,
SCD,,\\SCDTXFTWFSV01\Icons,,,,,
SCD,,\\SCDTXFTWFSV01\Share,,,,,
KBM,,\\KBMWA52PFSV01\Check Transfers,,,,,
KBM,,\\KBMWA52PFSV01\IMSupport,,,,,
KBM,,\\KBMWA52PFSV01\Quality,,,,,
KBM,,\\KBMWA52PFSV01\Scripts,,,,,
KBM,,\\KBMWA52PFSV01\Share,,,,,
KBM,,\\KBMWA52PFSV01\Users,,,,,
TUS,,\\TUSTXEWTFSV01\Data,,,,,
TUS,,\\TUSTXEWTFSV01\DFSSoftware,,,,,
